episode,timestep,reward
651,14996,-4348.24658203125
653,15042,-12695.2109375
655,15088,-11869.3486328125
657,15134,-8628.302734375
659,15180,-5978.46044921875
661,15226,-15305.1484375
663,15272,-24930.044921875
665,15318,-16617.560546875
667,15364,-9008.8310546875
669,15410,-7871.486328125
671,15456,-18888.73828125
673,15502,-12467.23046875
675,15548,-39098.03125
677,15594,-7104.2060546875
679,15640,-8903.673828125
681,15686,-15466.6708984375
683,15732,-18081.744140625
685,15778,-11011.5986328125
687,15824,-8267.3623046875
689,15870,-9790.6474609375
691,15916,-5424.6708984375
693,15962,-8511.150390625
695,16008,-8510.177734375
697,16054,-12148.029296875
699,16100,-30129.51953125
701,16146,-6907.8427734375
703,16192,-7817.80859375
705,16238,-15766.736328125
707,16284,-14259.869140625
709,16330,-8826.4345703125
711,16376,-14542.4521484375
713,16422,-12375.3662109375
715,16468,-18510.89453125
717,16514,-19765.29296875
719,16560,-22444.359375
721,16606,-8198.302734375
723,16652,-14741.5625
725,16698,-19688.189453125
727,16744,-17682.298828125
729,16790,-14948.25390625
731,16836,-23843.12890625
733,16882,-18220.751953125
735,16928,-13092.654296875
737,16974,-19309.6953125
739,17020,-24642.640625
741,17066,-19151.189453125
743,17112,-18198.638671875
745,17158,-10609.083984375
747,17204,-30103.4375
749,17250,-14302.15625
751,17296,-18840.58203125
753,17342,-26499.99609375
755,17388,-15807.025390625
757,17434,-24615.6171875
759,17480,-17979.90234375
761,17526,-17823.802734375
763,17572,-31492.279296875
765,17618,-31030.10546875
767,17664,-19091.439453125
769,17710,-19801.60546875
771,17756,-33198.140625
773,17802,-16399.2421875
775,17848,-16611.19921875
777,17894,-10062.400390625
779,17940,-11544.58984375
781,17986,-18116.80078125
783,18032,-10168.64453125
785,18078,-11760.5419921875
787,18124,-16808.58984375
789,18170,-10846.67578125
791,18216,-9941.4228515625
793,18262,-15404.138671875
795,18308,-12988.4873046875
797,18354,-16388.984375
799,18400,-14930.7890625
801,18446,-15761.96875
803,18492,-17165.26171875
805,18538,-22125.048828125
807,18584,-10065.193359375
809,18630,-14496.3896484375
811,18676,-19594.69140625
813,18722,-15810.39453125
815,18768,-29291.970703125
817,18814,-13671.076171875
819,18860,-15812.5546875
821,18906,-8653.126953125
823,18952,-14646.93359375
825,18998,-16521.17578125
827,19044,-10806.5947265625
829,19090,-22393.84375
831,19136,-6232.46630859375
833,19182,-20100.072265625
835,19228,-17473.55078125
837,19274,-11967.322265625
839,19320,-11585.6875
841,19366,-20303.4375
843,19412,-10467.775390625
845,19458,-12587.1318359375
847,19504,-12709.4111328125
849,19550,-15174.115234375
851,19596,-8815.9453125
853,19642,-7341.9619140625
855,19688,-4866.08056640625
857,19734,-13889.171875
859,19780,-17327.775390625
861,19826,-16307.24609375
863,19872,-11654.6103515625
865,19918,-13004.8095703125
867,19964,-7194.96875
869,20010,-15170.5302734375
871,20056,-23230.5546875
873,20102,-9692.525390625
875,20148,-14073.5390625
877,20194,-25014.009765625
879,20240,-11991.970703125
881,20286,-11632.662109375
883,20332,-11405.716796875
885,20378,-14994.6259765625
887,20424,-18621.43359375
889,20470,-10815.6337890625
891,20516,-20522.681640625
893,20562,-14155.4765625
895,20608,-11695.0302734375
897,20654,-13316.1650390625
899,20700,-17937.130859375
901,20746,-6533.947265625
903,20792,-20400.953125
905,20838,-9033.439453125
907,20884,-26490.78125
909,20930,-19416.15625
911,20976,-12450.9306640625
913,21022,-21822.521484375
915,21068,-9792.599609375
917,21114,-23934.9609375
919,21160,-8814.24609375
921,21206,-8720.58984375
923,21252,-8717.38671875
925,21298,-15826.7294921875
927,21344,-14444.3955078125
929,21390,-8336.9033203125
931,21436,-8018.2138671875
933,21482,-10112.3271484375
935,21528,-16174.3154296875
937,21574,-3877.23486328125
939,21620,-12969.146484375
941,21666,-14625.31640625
943,21712,-10262.564453125
945,21758,-15286.240234375
947,21804,-14211.0595703125
949,21850,-19810.939453125
951,21896,-12928.5
953,21942,-18688.9609375
955,21988,-5400.9130859375
957,22034,-9967.412109375
959,22080,-16986.392578125
961,22126,-11607.75390625
963,22172,-8728.62890625
965,22218,-8586.8876953125
967,22264,-17531.314453125
969,22310,-15552.54296875
971,22356,-26501.91796875
973,22402,-15946.6923828125
975,22448,-16460.29296875
977,22494,-14221.4765625
979,22540,-2934.54296875
981,22586,-15545.091796875
983,22632,-17634.072265625
985,22678,-15279.576171875
987,22724,-4572.39501953125
989,22770,-19013.5234375
991,22816,-9306.4208984375
993,22862,-27787.689453125
995,22908,-8031.498046875
997,22954,-5402.7275390625
999,23000,-11607.375
1001,23046,-14564.15234375
1003,23092,-20908.515625
1005,23138,-6272.9228515625
1007,23184,-14372.9501953125
1009,23230,-13568.8837890625
1011,23276,-18615.51171875
1013,23322,-5332.39892578125
1015,23368,-14921.556640625
1017,23414,-13356.140625
1019,23460,-13278.56640625
1021,23506,-9949.6044921875
1023,23552,-9814.662109375
1025,23598,-14101.935546875
1027,23644,-18089.21484375
1029,23690,-17271.625
1031,23736,-6134.85009765625
1033,23782,-3437.98681640625
1035,23828,-8734.78515625
1037,23874,-7181.17236328125
1039,23920,-25909.669921875
1041,23966,-6895.7421875
1043,24012,-6403.14404296875
1045,24058,-9463.876953125
1047,24104,-8808.3916015625
1049,24150,-9121.38671875
1051,24196,-8565.798828125
1053,24242,-20088.61328125
1055,24288,-14427.7353515625
1057,24334,-4301.2255859375
1059,24380,-9708.818359375
1061,24426,-9617.95703125
1063,24472,-13774.828125
1065,24518,-11491.005859375
1067,24564,-14507.16796875
1069,24610,-5756.193359375
1071,24656,-3002.484375
1073,24702,-12272.900390625
1075,24748,-19645.7421875
1077,24794,-8253.15234375
1079,24840,-12566.2236328125
1081,24886,-13810.880859375
1083,24932,-9667.2734375
1085,24978,-6055.87109375
1087,25024,-16242.513671875
1089,25070,-5286.779296875
1091,25116,-6947.2294921875
1093,25162,-5904.490234375
1095,25208,-8213.3291015625
1097,25254,-24362.126953125
1099,25300,-5869.013671875
1101,25346,-2305.71826171875
1103,25392,-3280.555419921875
1105,25438,-22515.966796875
1107,25484,-5286.9775390625
1109,25530,-1926.927490234375
1111,25576,-2710.025634765625
1113,25622,-13222.73828125
1115,25668,-3114.254638671875
1117,25714,-5143.30908203125
1119,25760,-9430.13671875
1121,25806,-4202.58251953125
1123,25852,-13688.41015625
1125,25898,-7203.95654296875
1127,25944,-9373.1357421875
1129,25990,-12581.2626953125
1131,26036,-7810.2431640625
1133,26082,-15065.841796875
1135,26128,-26881.630859375
1137,26174,-9740.4697265625
1139,26220,-10029.7685546875
1141,26266,-9165.24609375
1143,26312,-3395.5205078125
1145,26358,-7918.263671875
1147,26404,-14960.330078125
1149,26450,-6288.943359375
1151,26496,-3058.841064453125
1153,26542,-8511.17578125
1155,26588,-1924.9774169921875
1157,26634,-3421.123779296875
1159,26680,-2563.654296875
1161,26726,-17514.14453125
1163,26772,-18530.45703125
1165,26818,-2946.68115234375
1167,26864,-1964.182861328125
1169,26910,-2276.171875
1171,26956,-3814.26123046875
1173,27002,-4695.60400390625
1175,27048,-20782.408203125
1177,27094,-11906.453125
1179,27140,-7061.3232421875
1181,27186,-3780.90869140625
1183,27232,-3256.296630859375
1185,27278,-4784.2666015625
1187,27324,-4292.111328125
1189,27370,-5182.10546875
1191,27416,-4905.8779296875
1193,27462,-9402.0576171875
1195,27508,-3143.31494140625
1197,27554,-5021.32470703125
1199,27600,-3916.72412109375
1201,27646,-8971.779296875
1203,27692,-2541.25244140625
1205,27738,-12140.658203125
1207,27784,-5349.87548828125
1209,27830,-4744.9541015625
1211,27876,-11118.2041015625
1213,27922,-4467.4892578125
1215,27968,-8953.9267578125
1217,28014,-6905.2734375
1219,28060,-4195.89404296875
1221,28106,-5059.22998046875
1223,28152,-4906.798828125
1225,28198,-4314.24609375
1227,28244,-5010.44287109375
1229,28290,-21524.123046875
1231,28336,-14756.8984375
1233,28382,-5136.1640625
1235,28428,-5721.90380859375
1237,28474,-4881.4501953125
1239,28520,-5443.3759765625
1241,28566,-4728.515625
1243,28612,-4675.21484375
1245,28658,-16652.47265625
1247,28704,-4975.6611328125
1249,28750,-15337.587890625
1251,28796,-10348.7255859375
1253,28842,-4152.9775390625
1255,28888,-3963.51220703125
1257,28934,-8982.919921875
1259,28980,-3788.5595703125
1261,29026,-16330.0224609375
1263,29072,-5753.890625
1265,29118,-9243.595703125
1267,29164,-11452.017578125
1269,29210,-5976.9609375
1271,29256,-4730.3740234375
1273,29302,-11780.4169921875
1275,29348,-3048.54248046875
1277,29394,-7633.89501953125
1279,29440,-4244.39208984375
1281,29486,-13021.826171875
1283,29532,-5022.7705078125
1285,29578,-11959.2392578125
1287,29624,-4410.21337890625
1289,29670,-3927.30615234375
1291,29716,-12631.5263671875
1293,29762,-7384.7724609375
1295,29808,-2311.828125
1297,29854,-3476.7333984375
1299,29900,-14315.2138671875
1301,29946,-4110.62451171875
1303,29992,-2513.8515625
1305,30038,-3749.08203125
1307,30084,-5049.25537109375
1309,30130,-3857.02490234375
1311,30176,-5032.5859375
1313,30222,-3912.017578125
1315,30268,-5591.1484375
1317,30314,-3524.359375
1319,30360,-3699.533203125
1321,30406,-2578.072509765625
1323,30452,-2394.7158203125
1325,30498,-3455.946533203125
1327,30544,-1909.4859619140625
1329,30590,-4721.8828125
1331,30636,-1303.487548828125
1333,30682,-3282.72314453125
1335,30728,-3180.08642578125
1337,30774,-5977.6044921875
1339,30820,-2015.1611328125
1341,30866,-3177.712890625
1343,30912,-2382.12890625
1345,30958,-2115.89013671875
1347,31004,-4012.165771484375
1349,31050,-7169.5244140625
1351,31096,-1801.79638671875
1353,31142,-3760.86328125
1355,31188,-2793.753662109375
1357,31234,-1905.2408447265625
1359,31280,-2536.466552734375
1361,31326,-8936.7451171875
1363,31372,-2706.12548828125
1365,31418,-21901.6796875
1367,31464,-5777.33740234375
1369,31510,-2447.956787109375
1371,31556,-1697.36669921875
1373,31602,-2487.632080078125
1375,31648,-2403.302734375
1377,31694,-6539.02490234375
1379,31740,-2539.543212890625
1381,31786,-4871.232421875
1383,31832,-3869.21142578125
1385,31878,-2338.34326171875
1387,31924,-2572.92333984375
1389,31970,-2961.35009765625
1391,32016,-2633.25927734375
1393,32062,-2480.14306640625
1395,32108,-2272.10693359375
1397,32154,-2787.36669921875
1399,32200,-1508.70361328125
1401,32246,-1975.9246826171875
1403,32292,-6823.69580078125
1405,32338,-4328.94384765625
1407,32384,-2826.54443359375
1409,32430,-2854.02490234375
1411,32476,-1311.571044921875
1413,32522,-2016.296875
1415,32568,-1607.115234375
1417,32614,-2923.250732421875
1419,32660,-2541.451904296875
1421,32706,-2859.673095703125
1423,32752,-2088.0908203125
1425,32798,-5401.0546875
1427,32844,-3387.97119140625
1429,32890,-1695.266357421875
1431,32936,-3717.69775390625
1433,32982,-5240.07275390625
1435,33028,-2658.341796875
1437,33074,-3964.593017578125
1439,33120,-1470.466064453125
1441,33166,-2594.927734375
1443,33212,-1762.0673828125
1445,33258,-3012.42138671875
1447,33304,-1766.51611328125
1449,33350,-2271.947998046875
1451,33396,-1885.2919921875
1453,33442,-2422.88818359375
1455,33488,-1574.92626953125
1457,33534,-2125.7353515625
1459,33580,-4793.4931640625
1461,33626,-6557.2294921875
1463,33672,-1755.4984130859375
1465,33718,-1561.037353515625
1467,33764,-10948.6796875
1469,33810,-2038.890869140625
1471,33856,-2563.5
1473,33902,-1713.738037109375
1475,33948,-2546.239501953125
1477,33994,-2488.404541015625
1479,34040,-3177.85888671875
1481,34086,-2524.8271484375
1483,34132,-4015.12646484375
1485,34178,-5180.9091796875
1487,34224,-3006.943359375
1489,34270,-3134.42431640625
1491,34316,-2147.547119140625
1493,34362,-4749.701171875
1495,34408,-2253.11328125
1497,34454,-2150.502197265625
1499,34500,-2194.4375
1501,34546,-1902.3271484375
1503,34592,-2835.598388671875
1505,34638,-2480.81298828125
1507,34684,-2012.8564453125
1509,34730,-3979.55615234375
1511,34776,-3072.014892578125
1513,34822,-1279.83154296875
1515,34868,-2147.926513671875
1517,34914,-1823.72802734375
1519,34960,-12148.02734375
1521,35006,-2917.3154296875
1523,35052,-4371.63525390625
1525,35098,-1161.4127197265625
1527,35144,-2298.8505859375
1529,35190,-4517.90869140625
1531,35236,-3435.58154296875
1533,35282,-1431.0860595703125
1535,35328,-2894.21630859375
1537,35374,-3140.072265625
1539,35420,-2950.895263671875
1541,35466,-2604.138671875
1543,35512,-2026.0047607421875
1545,35558,-8886.6943359375
1547,35604,-1231.2626953125
1549,35650,-3247.485107421875
1551,35696,-1787.7470703125
1553,35742,-1940.0341796875
1555,35788,-3451.757080078125
1557,35834,-3422.2314453125
1559,35880,-1872.3126220703125
1561,35926,-4693.00244140625
1563,35972,-2853.842041015625
1565,36018,-2201.785400390625
1567,36064,-1993.303466796875
1569,36110,-1619.399169921875
1571,36156,-2190.471923828125
1573,36202,-1588.947998046875
1575,36248,-2038.60888671875
1577,36294,-2919.9169921875
1579,36340,-3963.41455078125
1581,36386,-1341.66015625
1583,36432,-2365.0419921875
1585,36478,-2217.376708984375
1587,36524,-1467.4669189453125
1589,36570,-3046.8056640625
1591,36616,-1409.7154541015625
1593,36662,-3205.6484375
1595,36708,-3644.13232421875
1597,36754,-2105.88720703125
1599,36800,-1121.807861328125
1601,36846,-2177.5498046875
1603,36892,-1412.29443359375
1605,36938,-1856.392578125
1607,36984,-1603.9263916015625
1609,37030,-2571.0966796875
1611,37076,-2602.345458984375
1613,37122,-1593.2689208984375
1615,37168,-2356.025390625
1617,37214,-1692.306396484375
1619,37260,-2904.166015625
1621,37306,-1614.980712890625
1623,37352,-1572.7255859375
1625,37398,-2544.387939453125
1627,37444,-3154.182373046875
1629,37490,-3556.78173828125
1631,37536,-1579.3980712890625
1633,37582,-2000.0399169921875
1635,37628,-2846.184326171875
1637,37674,-1968.74755859375
1639,37720,-3788.298828125
1641,37766,-1951.822265625
1643,37812,-4112.42041015625
1645,37858,-3287.53466796875
1647,37904,-1838.9248046875
1649,37950,-2136.7919921875
1651,37996,-12064.3798828125
1653,38042,-2226.681396484375
1655,38088,-2239.208984375
1657,38134,-1648.2744140625
1659,38180,-2453.274169921875
1661,38226,-5033.87255859375
1663,38272,-2537.0419921875
1665,38318,-3002.585205078125
1667,38364,-2998.69482421875
1669,38410,-2203.66845703125
1671,38456,-2693.22265625
1673,38502,-1933.4609375
1675,38548,-4766.66015625
1677,38594,-1824.2415771484375
1679,38640,-3600.124755859375
1681,38686,-1907.585693359375
1683,38732,-1904.844970703125
1685,38778,-2306.68505859375
1687,38824,-1480.98779296875
1689,38870,-2249.800048828125
1691,38916,-1165.611083984375
1693,38962,-1600.7716064453125
1695,39008,-1123.84423828125
1697,39054,-1569.204345703125
1699,39100,-1448.2586669921875
1701,39146,-1310.223388671875
1703,39192,-4149.498046875
1705,39238,-4682.8466796875
1707,39284,-2136.78515625
1709,39330,-1461.72412109375
1711,39376,-1639.5302734375
1713,39422,-4531.001953125
1715,39468,-1607.7569580078125
1717,39514,-1547.377685546875
1719,39560,-1086.2095947265625
1721,39606,-1582.474853515625
1723,39652,-6466.64111328125
1725,39698,-2324.54150390625
1727,39744,-2378.180419921875
1729,39790,-1403.475341796875
1731,39836,-6312.82080078125
1733,39882,-2304.1240234375
1735,39928,-1827.76318359375
1737,39974,-2184.359375
1739,40020,-2918.82275390625
1741,40066,-2230.29931640625
1743,40112,-3179.80908203125
1745,40158,-1394.22607421875
1747,40204,-1216.166015625
1749,40250,-2325.03955078125
1751,40296,-1274.34912109375
1753,40342,-1369.04248046875
1755,40388,-1821.611083984375
1757,40434,-2190.603759765625
1759,40480,-1462.48046875
1761,40526,-1840.3876953125
1763,40572,-1795.60986328125
1765,40618,-1635.166748046875
1767,40664,-1388.5379638671875
1769,40710,-1937.986328125
1771,40756,-2415.6328125
1773,40802,-1388.293701171875
1775,40848,-1679.017822265625
1777,40894,-2246.975830078125
1779,40940,-1711.9141845703125
1781,40986,-2527.802734375
1783,41032,-2048.0029296875
1785,41078,-1865.246826171875
1787,41124,-1102.841796875
1789,41170,-1772.7432861328125
1791,41216,-2012.50830078125
1793,41262,-1889.90478515625
1795,41308,-2070.64453125
1797,41354,-1064.501220703125
1799,41400,-1611.401611328125
1801,41446,-1869.56201171875
1803,41492,-1434.6815185546875
1805,41538,-1758.888427734375
1807,41584,-4665.900390625
1809,41630,-1207.5567626953125
1811,41676,-1565.795166015625
1813,41722,-1348.915283203125
1815,41768,-3225.0029296875
1817,41814,-1518.9541015625
1819,41860,-1300.37353515625
1821,41906,-3200.302734375
1823,41952,-2742.36328125
1825,41998,-3828.4150390625
1827,42044,-2010.5374755859375
1829,42090,-1817.303466796875
1831,42136,-1928.5758056640625
1833,42182,-1304.3021240234375
1835,42228,-938.1874389648438
1837,42274,-1953.805419921875
1839,42320,-1638.5447998046875
1841,42366,-2214.50537109375
1843,42412,-3239.033447265625
1845,42458,-2446.04150390625
1847,42504,-1614.0479736328125
1849,42550,-1836.142822265625
1851,42596,-1903.4774169921875
1853,42642,-1361.86474609375
1855,42688,-1532.8203125
1857,42734,-2054.992919921875
1859,42780,-3197.86572265625
1861,42826,-2902.216796875
1863,42872,-1707.0240478515625
1865,42918,-5639.39111328125
1867,42964,-2586.061767578125
1869,43010,-1482.97802734375
1871,43056,-2439.37109375
1873,43102,-1147.759765625
1875,43148,-2787.488037109375
1877,43194,-1893.5250244140625
1879,43240,-8655.1044921875
1881,43286,-1876.6412353515625
1883,43332,-1587.431884765625
1885,43378,-1806.4306640625
1887,43424,-2232.0771484375
1889,43470,-1563.0751953125
1891,43516,-2306.1220703125
1893,43562,-2141.3876953125
1895,43608,-1363.7392578125
1897,43654,-2516.69091796875
1899,43700,-1724.9285888671875
1901,43746,-1989.6396484375
1903,43792,-1385.5931396484375
1905,43838,-2083.00439453125
1907,43884,-1619.380859375
1909,43930,-1915.299560546875
1911,43976,-3006.0986328125
1913,44022,-1223.864501953125
1915,44068,-1781.15771484375
1917,44114,-3445.05126953125
1919,44160,-2395.603271484375
1921,44206,-1910.526611328125
1923,44252,-19327.189453125
1925,44298,-2774.10791015625
1927,44344,-1586.9656982421875
1929,44390,-1955.161865234375
1931,44436,-2681.993896484375
1933,44482,-1605.988037109375
1935,44528,-2965.3486328125
1937,44574,-2006.031005859375
1939,44620,-3178.71630859375
1941,44666,-1945.919921875
1943,44712,-2296.733642578125
1945,44758,-2217.60205078125
1947,44804,-2499.96826171875
1949,44850,-4105.7998046875
1951,44896,-2530.48046875
1953,44942,-2251.17138671875
1955,44988,-1894.09814453125
1957,45034,-1816.577880859375
1959,45080,-2790.657958984375
1961,45126,-1400.25439453125
1963,45172,-1598.458251953125
1965,45218,-1842.34814453125
1967,45264,-3138.99609375
1969,45310,-1884.4990234375
1971,45356,-2534.79931640625
1973,45402,-1981.329833984375
1975,45448,-2849.545166015625
1977,45494,-3519.53076171875
1979,45540,-2718.685546875
1981,45586,-1709.7275390625
1983,45632,-1273.1771240234375
1985,45678,-19317.662109375
1987,45724,-1784.19970703125
1989,45770,-2327.2333984375
1991,45816,-3304.22998046875
1993,45862,-1388.920166015625
1995,45908,-2113.080322265625
1997,45954,-2542.773193359375
1999,46000,-3798.79345703125
2001,46046,-2214.080078125
2003,46092,-2165.040283203125
2005,46138,-1328.522216796875
2007,46184,-1520.896728515625
2009,46230,-2103.01025390625
2011,46276,-2451.7353515625
